technology,genotype,tissue,sex,timepoint,rep,sample,depth1,depth2,sublibrary,sublibrary_sample,run_number,rna_experiment_accession,rna_library_accession,rna_file_accession,lower_nCount_RNA,upper_nCount_RNA,lower_nFeature_RNA,upper_doublet_scores,upper_percent.mt
10x,Bl6/Cast,Cortex,Female,PNM_02,1,C_2m_F_1,standard,5-10k,10x,10x_C_2m_F_1,NA,ENCSR467GGT,ENCLB807VEG,ENCFF305KOJ,500,30000,300,0.25,5
10x,Bl6/Cast,Cortex,Female,PNM_02,2,C_2m_F_2,standard,5-10k,10x,10x_C_2m_F_2,NA,ENCSR224RWH,ENCLB275OVJ,ENCFF396UPV,500,30000,300,0.25,5
10x,Bl6/Cast,Cortex,Male,PNM_02,1,C_2m_M_1,standard,5-10k,10x,10x_C_2m_M_1,NA,ENCSR421YXX,ENCLB432ZEQ,ENCFF895SZY,500,30000,300,0.25,5
10x,Bl6/Cast,Cortex,Male,PNM_02,2,C_2m_M_2,standard,5-10k,10x,10x_C_2m_M_2,NA,ENCSR132MEW,ENCLB675MBI,ENCFF493KLP,500,30000,300,0.25,5
10x,Bl6/Cast,Hippocampus,Female,PND_14,1,HC_14_F_1,standard,5-10k,10x,10x_HC_14_F_1,NA,ENCSR944XPC,ENCLB012QYK,ENCFF048RAV,500,30000,300,0.25,5
10x,Bl6/Cast,Hippocampus,Female,PND_14,2,HC_14_F_2,standard,5-10k,10x,10x_HC_14_F_2,NA,ENCSR995ZKH,ENCLB835IXS,ENCFF551IKY,500,30000,300,0.25,5
10x,Bl6/Cast,Hippocampus,Male,PND_14,1,HC_14_M_1,standard,5-10k,10x,10x_HC_14_M_1,NA,ENCSR539XHZ,ENCLB320HXY,ENCFF797DBY,500,30000,300,0.25,5
10x,Bl6/Cast,Hippocampus,Male,PND_14,2,HC_14_M_2,standard,5-10k,10x,10x_HC_14_M_2,NA,ENCSR987SOK,ENCLB104XFX,ENCFF042HDP,500,30000,300,0.25,5
10x,Bl6/Cast,Hippocampus,Female,PNM_02,1,HC_2m_F_1,standard,5-10k,10x,10x_HC_2m_F_1,NA,ENCSR835JFN,ENCLB089YWN,ENCFF837DVA,500,30000,300,0.25,5
10x,Bl6/Cast,Hippocampus,Female,PNM_02,2,HC_2m_F_2,standard,5-10k,10x,10x_HC_2m_F_2,NA,ENCSR968RPR,ENCLB850RYI,ENCFF961FHF,500,30000,300,0.25,5
10x,Bl6/Cast,Hippocampus,Male,PNM_02,1,HC_2m_M_1,standard,5-10k,10x,10x_HC_2m_M_1,NA,ENCSR742NWO,ENCLB225KMP,ENCFF971OPH,500,30000,300,0.25,5
10x,Bl6/Cast,Hippocampus,Male,PNM_02,2,HC_2m_M_2,standard,5-10k,10x,10x_HC_2m_M_2,NA,ENCSR075HVN,ENCLB349KYC,ENCFF979WXE,500,30000,300,0.25,5
Parse,Bl6/Cast,Adrenal,Female,PND_04,1,A_4_F_1,lr_match,2k,2A,2A_A_4_F_1,1005,ENCSR627TLB,ENCLB750VNE,ENCFF686GDK,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_04,2,A_4_F_2,lr_match,2k,2A,2A_A_4_F_2,1005,ENCSR627TLB,ENCLB371QTK,ENCFF064CRU,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_04,1,A_4_M_1,lr_match,2k,2A,2A_A_4_M_1,1005,ENCSR472OOH,ENCLB836BRZ,ENCFF310LTS,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_04,2,A_4_M_2,lr_match,2k,2A,2A_A_4_M_2,1005,ENCSR472OOH,ENCLB033UXK,ENCFF637GES,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_10,1,A_10_F_1,lr_match,2k,2A,2A_A_10_F_1,1005,ENCSR049KDI,ENCLB143KVC,ENCFF574DXJ,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_10,2,A_10_F_2,lr_match,2k,2A,2A_A_10_F_2,1005,ENCSR049KDI,ENCLB731QGM,ENCFF028BZR,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_10,1,A_10_M_1,lr_match,2k,2A,2A_A_10_M_1,1005,ENCSR551OZP,ENCLB621JUD,ENCFF791ZWX,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_10,2,A_10_M_2,lr_match,2k,2A,2A_A_10_M_2,1005,ENCSR551OZP,ENCLB159ARB,ENCFF312CXM,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_14,1,A_14_F_1,lr_match,2k,2A,2A_A_14_F_1,1005,ENCSR358SBF,ENCLB593HHL,ENCFF467WTR,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_14,2,A_14_F_2,lr_match,2k,2A,2A_A_14_F_2,1005,ENCSR358SBF,ENCLB474FGN,ENCFF793UYD,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_14,1,A_14_M_1,lr_match,2k,2A,2A_A_14_M_1,1005,ENCSR711CNO,ENCLB511RUE,ENCFF381VIT,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_14,2,A_14_M_2,lr_match,2k,2A,2A_A_14_M_2,1005,ENCSR711CNO,ENCLB672DEE,ENCFF518ANV,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_25,1,A_25_F_1,lr_match,2k,2A,2A_A_25_F_1,1005,ENCSR291RIX,ENCLB740NJA,ENCFF707WVW,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_25,2,A_25_F_2,lr_match,2k,2A,2A_A_25_F_2,1005,ENCSR291RIX,ENCLB964XJT,ENCFF007MDK,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_25,1,A_25_M_1,lr_match,2k,2A,2A_A_25_M_1,1005,ENCSR148VQR,ENCLB793ZEJ,ENCFF349GLQ,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_25,2,A_25_M_2,lr_match,2k,2A,2A_A_25_M_2,1005,ENCSR148VQR,ENCLB943ALJ,ENCFF115JIG,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_36,1,A_36_F_1,lr_match,2k,2A,2A_A_36_F_1,1005,ENCSR196TWX,ENCLB785BIJ,ENCFF346DET,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_36,2,A_36_F_2,lr_match,2k,2A,2A_A_36_F_2,1005,ENCSR196TWX,ENCLB683BBT,ENCFF174WIK,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_36,1,A_36_M_1,lr_match,2k,2A,2A_A_36_M_1,1005,ENCSR575TNG,ENCLB449WLH,ENCFF375RQU,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_36,2,A_36_M_2,lr_match,2k,2A,2A_A_36_M_2,1005,ENCSR575TNG,ENCLB214LEL,ENCFF499BAR,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_02,1,A_2m_F_1,lr_match,2k,2A,2A_A_2m_F_1,1005,ENCSR950SIX,ENCLB755SWT,ENCFF808XNC,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_02,2,A_2m_F_2,lr_match,2k,2A,2A_A_2m_F_2,1005,ENCSR950SIX,ENCLB260YXF,ENCFF842NJZ,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_02,1,A_2m_M_1,lr_match,2k,2A,2A_A_2m_M_1,1005,ENCSR452BKB,ENCLB074KWI,ENCFF799BVZ,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_02,2,A_2m_M_2,lr_match,2k,2A,2A_A_2m_M_2,1005,ENCSR452BKB,ENCLB715SBJ,ENCFF261QSK,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_18,1,A_18m_F_1,lr_match,2k,2A,2A_A_18m_F_1,1005,ENCSR035ZCY,ENCLB540USO,ENCFF427TBG,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_18,2,A_18m_F_2,lr_match,2k,2A,2A_A_18m_F_2,1005,ENCSR035ZCY,ENCLB970HWV,ENCFF050XIP,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_18,1,A_18m_M_1,lr_match,2k,2A,2A_A_18m_M_1,1005,ENCSR982GYD,ENCLB879UGT,ENCFF393NCE,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_18,2,A_18m_M_2,lr_match,2k,2A,2A_A_18m_M_2,1005,ENCSR982GYD,ENCLB882RXT,ENCFF529OCF,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_04,1,A_4_F_1,lr_match,2k,2B,2B_A_4_F_1,1005,ENCSR732MDJ,ENCLB517ACD,ENCFF205FKX,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_04,2,A_4_F_2,lr_match,2k,2B,2B_A_4_F_2,1005,ENCSR732MDJ,ENCLB093BII,ENCFF125WTG,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_04,1,A_4_M_1,lr_match,2k,2B,2B_A_4_M_1,1005,ENCSR422JWZ,ENCLB924MNV,ENCFF468SAG,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_04,2,A_4_M_2,lr_match,2k,2B,2B_A_4_M_2,1005,ENCSR422JWZ,ENCLB454IQF,ENCFF880KVA,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_10,1,A_10_F_1,lr_match,2k,2B,2B_A_10_F_1,1005,ENCSR763LIT,ENCLB741YUG,ENCFF013VXD,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_10,2,A_10_F_2,lr_match,2k,2B,2B_A_10_F_2,1005,ENCSR763LIT,ENCLB339NZV,ENCFF725LUZ,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_10,1,A_10_M_1,lr_match,2k,2B,2B_A_10_M_1,1005,ENCSR552XCF,ENCLB096XEI,ENCFF412YDZ,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_10,2,A_10_M_2,lr_match,2k,2B,2B_A_10_M_2,1005,ENCSR552XCF,ENCLB842EQT,ENCFF534QKS,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_14,1,A_14_F_1,lr_match,2k,2B,2B_A_14_F_1,1005,ENCSR093CLX,ENCLB469KQZ,ENCFF399CTO,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_14,2,A_14_F_2,lr_match,2k,2B,2B_A_14_F_2,1005,ENCSR093CLX,ENCLB765SCG,ENCFF291YYJ,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_14,1,A_14_M_1,lr_match,2k,2B,2B_A_14_M_1,1005,ENCSR403MNL,ENCLB109THY,ENCFF382JCD,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_14,2,A_14_M_2,lr_match,2k,2B,2B_A_14_M_2,1005,ENCSR403MNL,ENCLB689QBZ,ENCFF914LGV,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_25,1,A_25_F_1,lr_match,2k,2B,2B_A_25_F_1,1005,ENCSR165VMQ,ENCLB679MGP,ENCFF118QLE,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_25,2,A_25_F_2,lr_match,2k,2B,2B_A_25_F_2,1005,ENCSR165VMQ,ENCLB903CLN,ENCFF697JED,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_25,1,A_25_M_1,lr_match,2k,2B,2B_A_25_M_1,1005,ENCSR263VNQ,ENCLB668FHK,ENCFF222YFL,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_25,2,A_25_M_2,lr_match,2k,2B,2B_A_25_M_2,1005,ENCSR263VNQ,ENCLB944QTS,ENCFF074BEM,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_36,1,A_36_F_1,lr_match,2k,2B,2B_A_36_F_1,1005,ENCSR402GQZ,ENCLB585ZUX,ENCFF636OLA,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_36,2,A_36_F_2,lr_match,2k,2B,2B_A_36_F_2,1005,ENCSR402GQZ,ENCLB691GNG,ENCFF598QHN,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_36,1,A_36_M_1,lr_match,2k,2B,2B_A_36_M_1,1005,ENCSR794RPU,ENCLB856JIZ,ENCFF100LQA,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PND_36,2,A_36_M_2,lr_match,2k,2B,2B_A_36_M_2,1005,ENCSR794RPU,ENCLB680GUP,ENCFF068JJH,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_02,1,A_2m_F_1,lr_match,2k,2B,2B_A_2m_F_1,1005,ENCSR454ZHR,ENCLB381HJR,ENCFF530GRI,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_02,2,A_2m_F_2,lr_match,2k,2B,2B_A_2m_F_2,1005,ENCSR454ZHR,ENCLB851NLO,ENCFF852KDF,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_02,1,A_2m_M_1,lr_match,2k,2B,2B_A_2m_M_1,1005,ENCSR216UTT,ENCLB419YTE,ENCFF540VMZ,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_02,2,A_2m_M_2,lr_match,2k,2B,2B_A_2m_M_2,1005,ENCSR216UTT,ENCLB126DIM,ENCFF285VGH,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_18,1,A_18m_F_1,lr_match,2k,2B,2B_A_18m_F_1,1005,ENCSR201SNQ,ENCLB048VRI,ENCFF596TKH,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PNM_18,2,A_18m_F_2,lr_match,2k,2B,2B_A_18m_F_2,1005,ENCSR201SNQ,ENCLB866KKG,ENCFF213CZE,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_18,1,A_18m_M_1,lr_match,2k,2B,2B_A_18m_M_1,1005,ENCSR773CKJ,ENCLB107BBQ,ENCFF854PDW,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Male,PNM_18,2,A_18m_M_2,lr_match,2k,2B,2B_A_18m_M_2,1005,ENCSR773CKJ,ENCLB765UWE,ENCFF654LFW,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_04,1,G_4_F_1,lr_match,1k,1A,1A_G_4_F_1,1008,ENCSR928UPG,ENCLB642WTU,ENCFF529MWF,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_04,2,G_4_F_2,lr_match,1k,1A,1A_G_4_F_2,1008,ENCSR928UPG,ENCLB201GIH,ENCFF050BVO,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_04,1,G_4_M_1,lr_match,1k,1A,1A_G_4_M_1,1008,ENCSR419OCT,ENCLB109QGW,ENCFF282EKM,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_04,2,G_4_M_2,lr_match,1k,1A,1A_G_4_M_2,1008,ENCSR419OCT,ENCLB003PKT,ENCFF537MDQ,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_10,1,G_10_F_1,lr_match,1k,1A,1A_G_10_F_1,1008,ENCSR921SBQ,ENCLB337GLO,ENCFF102TGD,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_10,2,G_10_F_2,lr_match,1k,1A,1A_G_10_F_2,1008,ENCSR921SBQ,ENCLB778PIZ,ENCFF315JUJ,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_10,1,G_10_M_1,lr_match,1k,1A,1A_G_10_M_1,1008,ENCSR650QSN,ENCLB921TTM,ENCFF420BMP,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_10,2,G_10_M_2,lr_match,1k,1A,1A_G_10_M_2,1008,ENCSR650QSN,ENCLB658DGK,ENCFF356AQS,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_14,1,G_14_F_1,lr_match,1k,1A,1A_G_14_F_1,1008,ENCSR650VIQ,ENCLB286LJH,ENCFF178EEN,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_14,2,G_14_F_2,lr_match,1k,1A,1A_G_14_F_2,1008,ENCSR650VIQ,ENCLB398WHZ,ENCFF762VSU,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_14,1,G_14_M_1,lr_match,1k,1A,1A_G_14_M_1,1008,ENCSR728NFJ,ENCLB546MVT,ENCFF506JON,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_14,2,G_14_M_2,lr_match,1k,1A,1A_G_14_M_2,1008,ENCSR728NFJ,ENCLB578XRO,ENCFF558MKG,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_25,1,G_25_F_1,lr_match,1k,1A,1A_G_25_F_1,1008,ENCSR161BNJ,ENCLB753SMP,ENCFF821IFQ,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_25,2,G_25_F_2,lr_match,1k,1A,1A_G_25_F_2,1008,ENCSR161BNJ,ENCLB177TVC,ENCFF045AYE,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_25,1,G_25_M_1,lr_match,1k,1A,1A_G_25_M_1,1008,ENCSR514XCG,ENCLB607NFB,ENCFF795SPC,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_25,2,G_25_M_2,lr_match,1k,1A,1A_G_25_M_2,1008,ENCSR514XCG,ENCLB035RVT,ENCFF907LNC,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_36,1,G_36_F_1,lr_match,1k,1A,1A_G_36_F_1,1008,ENCSR961HBK,ENCLB676XJX,ENCFF698CZE,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_36,2,G_36_F_2,lr_match,1k,1A,1A_G_36_F_2,1008,ENCSR961HBK,ENCLB533ZGL,ENCFF520NOB,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_36,1,G_36_M_1,lr_match,1k,1A,1A_G_36_M_1,1008,ENCSR305VTL,ENCLB115NFJ,ENCFF827YMI,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_36,2,G_36_M_2,lr_match,1k,1A,1A_G_36_M_2,1008,ENCSR305VTL,ENCLB335FQZ,ENCFF793IPC,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PNM_02,1,G_2m_F_1,lr_match,1k,1A,1A_G_2m_F_1,1008,ENCSR908PNN,ENCLB519CDG,ENCFF237RRM,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PNM_02,2,G_2m_F_2,lr_match,1k,1A,1A_G_2m_F_2,1008,ENCSR908PNN,ENCLB503IXH,ENCFF222AZS,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PNM_02,1,G_2m_M_1,lr_match,1k,1A,1A_G_2m_M_1,1008,ENCSR496OYJ,ENCLB019ZEA,ENCFF099FLV,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PNM_02,2,G_2m_M_2,lr_match,1k,1A,1A_G_2m_M_2,1008,ENCSR496OYJ,ENCLB370WUK,ENCFF507BJA,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PNM_18,1,G_18m_F_1,lr_match,1k,1A,1A_G_18m_F_1,1008,ENCSR974ODT,ENCLB246EKZ,ENCFF779CJI,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PNM_18,2,G_18m_F_2,lr_match,1k,1A,1A_G_18m_F_2,1008,ENCSR974ODT,ENCLB390UOV,ENCFF873LWR,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PNM_18,1,G_18m_M_1,lr_match,1k,1A,1A_G_18m_M_1,1008,ENCSR187HKH,ENCLB445HCF,ENCFF684YRA,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PNM_18,2,G_18m_M_2,lr_match,1k,1A,1A_G_18m_M_2,1008,ENCSR187HKH,ENCLB697UFJ,ENCFF547JPH,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_04,1,G_4_F_1,lr_match,2k,2A,2A_G_4_F_1,1014,ENCSR644SME,ENCLB918XPI,ENCFF438DYL,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_04,2,G_4_F_2,lr_match,2k,2A,2A_G_4_F_2,1014,ENCSR644SME,ENCLB304ADY,ENCFF608RMA,500,50000,300,0.25,5
