"","gene_id","gene_name","gene_type"
"26361","ENSMUSG00000046334.4","Gm6195","processed_pseudogene"
"26363","ENSMUSG00000046101.16","Mcmdc2","protein_coding"
"26364","ENSMUSG00000098234.7","Snhg6","lincRNA"
"26366","ENSMUSG00000099032.2","Tcf24","protein_coding"
"26368","ENSMUSG00000025916.10","Ppp1r42","protein_coding"
"26369","ENSMUSG00000087199.1","Gm15818","antisense"
"26371","ENSMUSG00000025917.9","Cops5","protein_coding"
"26372","ENSMUSG00000056763.16","Cspp1","protein_coding"
"26374","ENSMUSG00000067851.11","Arfgef1","protein_coding"
"26377","ENSMUSG00000042501.12","Cpa6","protein_coding"
"26379","ENSMUSG00000083422.1","Gm15604","processed_pseudogene"
"26381","ENSMUSG00000081417.1","Gm15603","processed_pseudogene"
"26383","ENSMUSG00000100212.1","Gm5522","processed_pseudogene"
"26384","ENSMUSG00000100648.1","Gm28659","processed_pseudogene"
"26386","ENSMUSG00000048960.13","Prex2","protein_coding"
"26388","ENSMUSG00000101827.1","Gm28686","processed_pseudogene"
"26390","ENSMUSG00000057715.13","A830018L16Rik","protein_coding"
"26392","ENSMUSG00000099845.1","Gm29273","processed_pseudogene"
"26394","ENSMUSG00000101610.1","Gm7560","processed_pseudogene"
"26396","ENSMUSG00000098555.1","Mir6341","miRNA"
"26397","ENSMUSG00000097628.1","Gm2383","processed_pseudogene"
"26398","ENSMUSG00000098163.1","Gm6216","processed_pseudogene"
"26399","ENSMUSG00000097171.1","Gm17644","lincRNA"
"26400","ENSMUSG00000101314.1","Gm29663","lincRNA"
"26401","ENSMUSG00000016918.15","Sulf1","protein_coding"
"26402","ENSMUSG00000025938.16","Slco5a1","protein_coding"
"26404","ENSMUSG00000069620.6","Gm5250","processed_pseudogene"
"26405","ENSMUSG00000099498.1","Gm29283","lincRNA"
"26406","ENSMUSG00000042414.7","Prdm14","protein_coding"
"26407","ENSMUSG00000005886.14","Ncoa2","protein_coding"
"26410","ENSMUSG00000099183.1","Gm27881","miRNA"
"26416","ENSMUSG00000101476.1","Gm29570","antisense"
"26417","ENSMUSG00000101171.1","Gm7593","processed_pseudogene"
"26418","ENSMUSG00000025935.10","Tram1","protein_coding"
"26419","ENSMUSG00000025937.6","Lactb2","protein_coding"
"26421","ENSMUSG00000067813.3","Xkr9","protein_coding"
"26423","ENSMUSG00000097711.1","Gm5523","processed_pseudogene"
"26427","ENSMUSG00000025932.14","Eya1","protein_coding"
"26428","ENSMUSG00000095853.1","Gm22616","miRNA"
"26430","ENSMUSG00000054493.2","Gm9947","antisense"
"26431","ENSMUSG00000025930.6","Msc","protein_coding"
"26433","ENSMUSG00000081201.1","Smt3h2-ps4","processed_pseudogene"
"26434","ENSMUSG00000082193.1","Rpl5-ps1","processed_pseudogene"
"26435","ENSMUSG00000032769.5","Trpa1","protein_coding"
"26437","ENSMUSG00000073737.3","Gm10566","processed_pseudogene"
"26438","ENSMUSG00000092083.4","Kcnb2","protein_coding"
"26443","ENSMUSG00000101652.1","Gm6060","processed_pseudogene"
"26444","ENSMUSG00000100814.1","Gm28669","processed_pseudogene"
"26445","ENSMUSG00000025925.14","Terf1","protein_coding"
"26447","ENSMUSG00000032719.4","Sbspon","protein_coding"
"26449","ENSMUSG00000100652.1","Gm7634","processed_pseudogene"
"26450","ENSMUSG00000067795.13","4930444P10Rik","protein_coding"
"26451","ENSMUSG00000043716.13","Rpl7","protein_coding"
"26452","ENSMUSG00000025921.7","Rdh10","protein_coding"
"26454","ENSMUSG00000100868.1","Gm28095","antisense"
"26455","ENSMUSG00000025920.19","Stau2","protein_coding"
"26456","ENSMUSG00000089982.7","Gm7568","antisense"
"26457","ENSMUSG00000025939.18","Ube2w","protein_coding"
"26459","ENSMUSG00000079658.9","Eloc","protein_coding"
"26460","ENSMUSG00000097744.1","D030040B21Rik","lincRNA"
"26461","ENSMUSG00000100959.1","Gm7654","processed_pseudogene"
"26462","ENSMUSG00000025940.6","Tmem70","protein_coding"
"26463","ENSMUSG00000025779.10","Ly96","protein_coding"
"26464","ENSMUSG00000100093.1","Gm29649","processed_pseudogene"
"26465","ENSMUSG00000091020.3","Gm5828","processed_pseudogene"
"26466","ENSMUSG00000101640.1","Gm28376","antisense"
"26468","ENSMUSG00000042686.5","Jph1","protein_coding"
"26469","ENSMUSG00000100110.1","Gm28783","lincRNA"
"26470","ENSMUSG00000025777.8","Gdap1","protein_coding"
"26471","ENSMUSG00000099899.1","Gm28784","lincRNA"
"26472","ENSMUSG00000100272.1","Gm28785","processed_pseudogene"
"26473","ENSMUSG00000100398.1","Gm5251","processed_pseudogene"
"26474","ENSMUSG00000101589.1","Rbm6-ps1","processed_pseudogene"
"26475","ENSMUSG00000102048.1","Gm6075","processed_pseudogene"
"26477","ENSMUSG00000067780.3","Pi15","protein_coding"
"26478","ENSMUSG00000100053.1","Gm28154","antisense"
"26479","ENSMUSG00000085125.7","Gm16070","antisense"
"26480","ENSMUSG00000025776.13","Crispld1","protein_coding"
"26481","ENSMUSG00000099895.1","Gm28153","antisense"
"26482","ENSMUSG00000100554.1","Gm7690","processed_pseudogene"
"26483","ENSMUSG00000099473.1","Gm18775","transcribed_unprocessed_pseudogene"
"26484","ENSMUSG00000099591.1","Gm17969","processed_pseudogene"
"26485","ENSMUSG00000109887.1","Gm28756","processed_transcript"
"26486","ENSMUSG00000102001.1","Gm28755","unprocessed_pseudogene"
"26487","ENSMUSG00000101717.2","Gm45784","transcribed_unprocessed_pseudogene"
"26488","ENSMUSG00000025774.14","Crisp4","protein_coding"
"26489","ENSMUSG00000070977.4","Defb44-ps","unprocessed_pseudogene"
"26490","ENSMUSG00000073735.1","Defb18","protein_coding"
"26491","ENSMUSG00000067773.6","Defb41","protein_coding"
"26492","ENSMUSG00000101685.1","Gm17837","processed_pseudogene"
"26493","ENSMUSG00000101306.1","Gm5252","processed_pseudogene"
"26495","ENSMUSG00000101644.1","Gm28343","processed_pseudogene"
"26496","ENSMUSG00000099433.1","Gm28344","processed_pseudogene"
"26497","ENSMUSG00000089787.2","Gm15825","antisense"
"26498","ENSMUSG00000042596.7","Tfap2d","protein_coding"
"26499","ENSMUSG00000100720.1","Gm10075","processed_pseudogene"
"26500","ENSMUSG00000025927.13","Tfap2b","protein_coding"
"26501","ENSMUSG00000100538.1","Gm28340","lincRNA"
"26502","ENSMUSG00000101117.1","Gm28341","processed_pseudogene"
"26503","ENSMUSG00000100204.1","Gm4849","processed_pseudogene"
"26506","ENSMUSG00000043760.16","Pkhd1","protein_coding"
"26508","ENSMUSG00000089914.2","4930486I03Rik","antisense"
"26509","ENSMUSG00000090142.2","Gm15795","processed_pseudogene"
"26511","ENSMUSG00000099906.2","Gm28653","lincRNA"
"26512","ENSMUSG00000065559.1","Mir206","miRNA"
"26513","ENSMUSG00000065480.1","Mir133b","miRNA"
"26514","ENSMUSG00000025929.4","Il17a","protein_coding"
"26515","ENSMUSG00000041872.9","Il17f","protein_coding"
"26516","ENSMUSG00000041859.10","Mcm3","protein_coding"
"26517","ENSMUSG00000099714.1","Gm20587","processed_pseudogene"
"26518","ENSMUSG00000102121.1","Gm28065","lincRNA"
"26520","ENSMUSG00000097934.1","6720483E21Rik","lincRNA"
"26521","ENSMUSG00000025931.15","Paqr8","protein_coding"
"26523","ENSMUSG00000100929.1","Gm28064","processed_pseudogene"
"26524","ENSMUSG00000041809.5","Efhc1","protein_coding"
"26525","ENSMUSG00000041779.5","Tram2","protein_coding"
"26526","ENSMUSG00000099971.1","Gm28287","antisense"
"26527","ENSMUSG00000100819.1","Gm2693","unprocessed_pseudogene"
"26528","ENSMUSG00000025933.15","Tmem14a","protein_coding"
"26530","ENSMUSG00000025934.15","Gsta3","protein_coding"
"26531","ENSMUSG00000099343.1","Gm28836","antisense"
"26532","ENSMUSG00000096375.2","Gm7094","unprocessed_pseudogene"
"26533","ENSMUSG00000025936.15","Gm4956","transcribed_unprocessed_pseudogene"
"26534","ENSMUSG00000093963.1","Gm21909","unprocessed_pseudogene"
"26535","ENSMUSG00000067750.3","Khdc1a","protein_coding"
"26536","ENSMUSG00000086194.1","Gm16329","unprocessed_pseudogene"
"26537","ENSMUSG00000094436.1","Gm16327","processed_pseudogene"
"26538","ENSMUSG00000041722.7","Khdc1c","protein_coding"
"26539","ENSMUSG00000085507.1","Gm2709","unprocessed_pseudogene"
"26540","ENSMUSG00000094926.1","Gm16533","processed_pseudogene"
"26541","ENSMUSG00000085079.3","Khdc1b","protein_coding"
"26542","ENSMUSG00000085679.2","Gm16328","processed_pseudogene"
"26543","ENSMUSG00000028033.16","Kcnq5","protein_coding"
"26545","ENSMUSG00000082935.3","Gm7658","processed_pseudogene"
"26547","ENSMUSG00000097109.1","Gm26580","lincRNA"
"26548","ENSMUSG00000099692.1","Gm5696","processed_pseudogene"
"26549","ENSMUSG00000100418.1","Gm28239","processed_pseudogene"
"26550","ENSMUSG00000041670.16","Rims1","protein_coding"
"26551","ENSMUSG00000097642.1","Gm26866","processed_pseudogene"
"26552","ENSMUSG00000101468.1","Gm7761","processed_pseudogene"
"26553","ENSMUSG00000101227.1","Gm29506","sense_overlapping"
"26554","ENSMUSG00000073730.2","4933415F23Rik","protein_coding"
"26557","ENSMUSG00000065405.3","Mir30a","miRNA"
"26558","ENSMUSG00000097970.1","Gm27028","lincRNA"
"26559","ENSMUSG00000065567.1","Mir30c-2","miRNA"
"26560","ENSMUSG00000100775.1","Gm29107","lincRNA"
"26561","ENSMUSG00000101226.1","Gm20954","processed_pseudogene"
"26562","ENSMUSG00000026158.11","Ogfrl1","protein_coding"
"26563","ENSMUSG00000097920.1","Gm7784","processed_pseudogene"
"26564","ENSMUSG00000099503.1","Gm28822","lincRNA"
"26565","ENSMUSG00000026156.8","B3gat2","protein_coding"
"26566","ENSMUSG00000026155.13","Smap1","protein_coding"
"26567","ENSMUSG00000026154.4","Sdhaf4","protein_coding"
"26569","ENSMUSG00000026153.15","Fam135a","protein_coding"
"26571","ENSMUSG00000097670.1","Gm26607","processed_pseudogene"
"26572","ENSMUSG00000026147.16","Col9a1","protein_coding"
"26573","ENSMUSG00000026141.13","Col19a1","protein_coding"
"26575","ENSMUSG00000099997.1","Tubb4b-ps2","processed_pseudogene"
"26576","ENSMUSG00000100131.1","Gm28439","unprocessed_pseudogene"
"26577","ENSMUSG00000067736.2","Gm10222","unprocessed_pseudogene"
"26578","ENSMUSG00000101939.1","Gm28438","unprocessed_pseudogene"
"26579","ENSMUSG00000101111.1","Gm28437","unprocessed_pseudogene"
"26580","ENSMUSG00000100862.1","Gm10925","unprocessed_pseudogene"
"26581","ENSMUSG00000102070.1","Gm28661","unprocessed_pseudogene"
"26582","ENSMUSG00000101249.1","Gm29216","unprocessed_pseudogene"
"26583","ENSMUSG00000073725.8","Lmbrd1","protein_coding"
"26584","ENSMUSG00000100808.1","Gm28594","processed_pseudogene"
"26585","ENSMUSG00000100483.1","Gm28237","lincRNA"
"26586","ENSMUSG00000100450.1","Gm9443","processed_pseudogene"
"26587","ENSMUSG00000099392.1","Gm29414","lincRNA"
"26588","ENSMUSG00000033569.17","Adgrb3","protein_coding"
"26589","ENSMUSG00000080849.1","Gm15702","processed_pseudogene"
"26600","ENSMUSG00000101301.1","Gm29214","processed_pseudogene"
"26613","ENSMUSG00000101618.1","Gm18443","processed_pseudogene"
"26614","ENSMUSG00000099458.1","Gm19123","processed_pseudogene"
"26616","ENSMUSG00000073722.3","4931408C20Rik","protein_coding"
"26618","ENSMUSG00000100310.1","Gm19641","processed_pseudogene"
"26619","ENSMUSG00000101514.1","Gm5524","lincRNA"
"26620","ENSMUSG00000101033.1","Gm18776","processed_pseudogene"
"26621","ENSMUSG00000101372.1","Gm19028","processed_pseudogene"
"26623","ENSMUSG00000086240.4","Gm7846","processed_pseudogene"
"26624","ENSMUSG00000048411.4","Gm597","protein_coding"
"26625","ENSMUSG00000081557.2","Gm5697","processed_pseudogene"
"26626","ENSMUSG00000058590.2","Gm6462","processed_pseudogene"
"26627","ENSMUSG00000101235.1","Gm18033","processed_pseudogene"
"26629","ENSMUSG00000080625.1","Gm22679","miRNA"
"26630","ENSMUSG00000080391.1","Gm23785","miRNA"
"26631","ENSMUSG00000099257.1","Mir6342","miRNA"
"26632","ENSMUSG00000099492.1","Gm5525","processed_pseudogene"
"26633","ENSMUSG00000101726.1","Gm7858","processed_pseudogene"
"26634","ENSMUSG00000096829.1","Gm23771","miRNA"
"26635","ENSMUSG00000098883.1","Gm27430","miRNA"
"26636","ENSMUSG00000053185.2","Gm9898","lincRNA"
"26637","ENSMUSG00000100261.1","Gm6473","unprocessed_pseudogene"
"26638","ENSMUSG00000101180.1","Gm2914","processed_pseudogene"
"26639","ENSMUSG00000048874.15","Phf3","protein_coding"
"26642","ENSMUSG00000026064.16","Ptp4a1","protein_coding"
"26642.1","ENSMUSG00000026064.16","Ptp4a1","protein_coding"
"26644","ENSMUSG00000117091.1","AC153137.1","protein_coding"
"26645","ENSMUSG00000086726.3","Gm9458","processed_pseudogene"
"26646","ENSMUSG00000086727.8","4931428L18Rik","protein_coding"
"26647","ENSMUSG00000100237.1","Gm28644","lincRNA"
"26649","ENSMUSG00000100910.1","Gm29128","antisense"
"26650","ENSMUSG00000099796.1","Gm7893","processed_pseudogene"
"26651","ENSMUSG00000050217.13","Lgsn","protein_coding"
"26652","ENSMUSG00000026063.4","Pih1d3","protein_coding"
"26654","ENSMUSG00000100205.1","Gm4850","processed_pseudogene"
"26655","ENSMUSG00000100592.1","Gm28645","processed_pseudogene"
"26656","ENSMUSG00000094215.2","Gm6489","processed_pseudogene"
"26657","ENSMUSG00000101093.1","Gm10307","processed_pseudogene"
"26658","ENSMUSG00000070960.4","Gm19680","processed_pseudogene"
"26660","ENSMUSG00000082159.2","Gm7910","processed_pseudogene"
"26661","ENSMUSG00000026058.11","Khdrbs2","protein_coding"
"26668","ENSMUSG00000091318.2","Gm5415","protein_coding"
"26673","ENSMUSG00000100497.1","Gm28624","processed_pseudogene"
"26674","ENSMUSG00000102917.1","Gm37724","lincRNA"
"26675","ENSMUSG00000100481.1","Gm7114","processed_pseudogene"
"26676","ENSMUSG00000100590.1","Gm4785","processed_pseudogene"
"26678","ENSMUSG00000104230.1","Gm37591","lincRNA"
"26679","ENSMUSG00000101754.2","Gm2987","processed_pseudogene"
"26681","ENSMUSG00000100318.2","Gm18799","processed_pseudogene"
"26682","ENSMUSG00000101612.2","Gm7933","processed_pseudogene"
"26684","ENSMUSG00000026134.11","Prim2","protein_coding"
"26685","ENSMUSG00000101682.1","Gm29228","processed_pseudogene"
"26687","ENSMUSG00000102093.1","Gm17813","processed_pseudogene"
"26690","ENSMUSG00000004768.14","Rab23","protein_coding"
"26691","ENSMUSG00000042215.8","Bag2","protein_coding"
"26693","ENSMUSG00000042197.13","Zfp451","protein_coding"
"26694","ENSMUSG00000081402.4","Gm15455","processed_pseudogene"
"26695","ENSMUSG00000042182.16","Bend6","protein_coding"
"26697","ENSMUSG00000026131.18","Dst","protein_coding"
"26699","ENSMUSG00000099382.1","Gm28631","processed_pseudogene"
"26702","ENSMUSG00000105982.1","Mir6896","miRNA"
"26703","ENSMUSG00000096992.3","Gm26788","processed_transcript"
"26705","ENSMUSG00000104397.1","Gm37958","lincRNA"
"26707","ENSMUSG00000101206.1","Gm5266","processed_pseudogene"
"26708","ENSMUSG00000101462.2","Gm3052","transcribed_processed_pseudogene"
"26709","ENSMUSG00000102336.1","Gm37233","lincRNA"
"26710","ENSMUSG00000092852.1","Mir5103","miRNA"
"26711","ENSMUSG00000042111.9","Ccdc115","protein_coding"
"26712","ENSMUSG00000101711.1","Gm28306","antisense"
"26713","ENSMUSG00000026127.13","Imp4","protein_coding"
"26714","ENSMUSG00000026126.15","Ptpn18","protein_coding"
"26715","ENSMUSG00000100280.2","Gm28417","processed_transcript"
"26716","ENSMUSG00000101223.6","4930568A12Rik","lincRNA"
"26717","ENSMUSG00000026125.9","Prss39","protein_coding"
"26718","ENSMUSG00000101116.1","Gm28416","processed_pseudogene"
"26719","ENSMUSG00000026124.4","Cfc1","protein_coding"
"26720","ENSMUSG00000101803.1","Gm28419","processed_pseudogene"
"26721","ENSMUSG00000037529.13","Prss40","protein_coding"
"26722","ENSMUSG00000045815.4","1700101I19Rik","antisense"
"26723","ENSMUSG00000045174.10","Amer3","protein_coding"
"26724","ENSMUSG00000100524.1","Gm28418","processed_pseudogene"
"26725","ENSMUSG00000102499.1","Gm36984","processed_pseudogene"
"26726","ENSMUSG00000103521.1","Gm29730","processed_pseudogene"
"26727","ENSMUSG00000104098.1","AA619741","processed_pseudogene"
"26728","ENSMUSG00000037509.21","Arhgef4","protein_coding"
"26729","ENSMUSG00000102537.1","Gm37224","processed_pseudogene"
"26730","ENSMUSG00000102612.1","Gm37845","processed_pseudogene"
"26728.1","ENSMUSG00000037509.21","Arhgef4","protein_coding"
"26732","ENSMUSG00000104002.2","Gm38336","antisense"
"26733","ENSMUSG00000037503.12","Fam168b","protein_coding"
"26735","ENSMUSG00000026123.11","Plekhb2","protein_coding"
"26736","ENSMUSG00000103716.1","Gm19430","processed_pseudogene"
"26737","ENSMUSG00000103548.1","Gm37670","processed_pseudogene"
"26738","ENSMUSG00000103760.1","Gm8009","processed_pseudogene"
"26739","ENSMUSG00000103997.1","Gm38027","processed_pseudogene"
"26741","ENSMUSG00000104417.1","Gm37068","lincRNA"
"26743","ENSMUSG00000101714.1","Gm28415","lincRNA"
"26744","ENSMUSG00000102531.1","1110002O04Rik","lincRNA"
"26745","ENSMUSG00000103096.1","Gm8022","processed_pseudogene"
"26746","ENSMUSG00000102279.1","Gm37146","lincRNA"
"26747","ENSMUSG00000103708.1","Gm33222","lincRNA"
"26748","ENSMUSG00000104201.1","4930535G08Rik","lincRNA"
"26750","ENSMUSG00000045216.7","Hs6st1","protein_coding"
"26751","ENSMUSG00000104523.1","Gm37335","antisense"
"26752","ENSMUSG00000102202.1","Gm33280","lincRNA"
"26753","ENSMUSG00000037470.14","Uggt1","protein_coding"
"26754","ENSMUSG00000098752.1","Mir6897","miRNA"
"26755","ENSMUSG00000047180.8","Neurl3","protein_coding"
"26756","ENSMUSG00000037447.16","Arid5a","protein_coding"
"26757","ENSMUSG00000102762.1","4930403P22Rik","lincRNA"
"26758","ENSMUSG00000010453.12","Kansl3","protein_coding"
"26759","ENSMUSG00000098680.1","Mir6898","miRNA"
"26760","ENSMUSG00000037432.15","Fer1l5","protein_coding"
"26761","ENSMUSG00000001143.13","Lman2l","protein_coding"
"26762","ENSMUSG00000037408.10","Cnnm4","protein_coding"
"26764","ENSMUSG00000106081.1","Gm47280","miRNA"
"26765","ENSMUSG00000001138.13","Cnnm3","protein_coding"
"26766","ENSMUSG00000102845.1","Gm38033","antisense"
"26767","ENSMUSG00000067653.12","Ankrd23","protein_coding"
"26768","ENSMUSG00000109510.1","Gm42417","protein_coding"
"26769","ENSMUSG00000079610.9","Ankrd39","protein_coding"
"26770","ENSMUSG00000026121.13","Sema4c","protein_coding"
"26771","ENSMUSG00000087589.3","D430040D24Rik","processed_transcript"
"26772","ENSMUSG00000046337.17","Fam178b","protein_coding"
"26773","ENSMUSG00000089906.1","Gm6428","processed_pseudogene"
"26774","ENSMUSG00000077939.1","Gm24133","miRNA"
"26775","ENSMUSG00000061518.11","Cox5b","protein_coding"
"26776","ENSMUSG00000037351.9","Actr1b","protein_coding"
"26777","ENSMUSG00000102416.4","4933424G06Rik","protein_coding"
"26778","ENSMUSG00000104237.1","Gm33533","lincRNA"
"26779","ENSMUSG00000026117.10","Zap70","protein_coding"
"26780","ENSMUSG00000097291.1","Gm18828","transcribed_processed_pseudogene"
"26781","ENSMUSG00000026116.11","Tmem131","protein_coding"
"26783","ENSMUSG00000102930.1","Gm38115","sense_intronic"
"26785","ENSMUSG00000080054.3","Rpl12-ps1","processed_pseudogene"
"26787","ENSMUSG00000050122.18","Vwa3b","protein_coding"
"26788","ENSMUSG00000103603.1","Gm37020","antisense"
"26789","ENSMUSG00000026114.14","Cnga3","protein_coding"
"26791","ENSMUSG00000026113.17","Inpp4a","protein_coding"
"26792","ENSMUSG00000086064.1","4930439A04Rik","antisense"
"26794","ENSMUSG00000026112.7","Coa5","protein_coding"
"26795","ENSMUSG00000026111.15","Unc50","protein_coding"
"26796","ENSMUSG00000026110.15","Mgat4a","protein_coding"
"26798","ENSMUSG00000087233.1","Gm43213","processed_pseudogene"
"26799","ENSMUSG00000026090.16","2010300C02Rik","protein_coding"
"26800","ENSMUSG00000089767.1","4930556I23Rik","antisense"
"26803","ENSMUSG00000060771.14","Tsga10","protein_coding"
"26804","ENSMUSG00000097268.1","Gm26805","antisense"
"26805","ENSMUSG00000037216.5","Lipt1","protein_coding"
"26806","ENSMUSG00000026088.15","Mitd1","protein_coding"
"26807","ENSMUSG00000026087.11","Mrpl30","protein_coding"
"26808","ENSMUSG00000061584.6","Lyg2","protein_coding"
"26809","ENSMUSG00000087374.1","Gm15457","antisense"
"26810","ENSMUSG00000026085.11","Lyg1","protein_coding"
"26812","ENSMUSG00000058407.12","Txndc9","protein_coding"
"26813","ENSMUSG00000026083.12","Eif5b","protein_coding"
"26814","ENSMUSG00000026082.11","Rev1","protein_coding"
"26815","ENSMUSG00000103804.1","Gm37062","sense_intronic"
"26816","ENSMUSG00000102716.1","Gm5099","lincRNA"
"26817","ENSMUSG00000037138.17","Aff3","protein_coding"
"26818","ENSMUSG00000085391.1","Gm16150","antisense"
"26819","ENSMUSG00000085280.1","Gm16151","antisense"
"26820","ENSMUSG00000087131.7","Gm16152","antisense"
"26821","ENSMUSG00000102984.1","Gm34727","processed_pseudogene"
"26822","ENSMUSG00000102541.1","Gm38135","processed_pseudogene"
"26824","ENSMUSG00000048814.10","Lonrf2","protein_coding"
"26825","ENSMUSG00000026080.13","Chst10","protein_coding"
"26826","ENSMUSG00000103647.1","Gm37707","antisense"
"26827","ENSMUSG00000102447.1","Gm6621","processed_pseudogene"
"26828","ENSMUSG00000067604.8","Nms","protein_coding"
"26829","ENSMUSG00000026078.10","Pdcl3","protein_coding"
"26831","ENSMUSG00000104188.1","Gm37821","lincRNA"
"26833","ENSMUSG00000098833.1","Mir6349","miRNA"
"26834","ENSMUSG00000026077.15","Npas2","protein_coding"
"26835","ENSMUSG00000092553.1","Gm20428","processed_pseudogene"
